허가기관명,시군명,용도,세부용도,사업상태,발전소명,소재지도로명주소,소재지지번주소,설비용량(KW),공급전압(V),주파수(Hz),사업허가일자,사업개시예정일자,사업개시일자,소요부지면적(㎡),집광판면적(㎡),위도,경도,설치위치구분,지목,비고,데이터기준일자
고양시,고양시,전기사업용,발전사업용,미운영,성진태양광발전소,"경기도 고양시 일산동구 동국로 137-12, 151","경기도 고양시 일산동구 식사동 736-4, 736-1",99.45,380,60,2021-06-24,,,501.32,,37.68507805,126.8048587,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,세광태양광발전소,경기도 고양시 일산동구 공릉천로187번길 11-1,경기도 고양시 일산동구 사리현동 795,16.5,380,60,2015-06-20,,2015-09-16,96,,37.70907839,126.8438656,건물,창고용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,세븐발전소,경기도 고양시 덕양구 혜음로10,경기도 고양시 덕양구 벽제동 313-4,45,380,60,2021-05-28,,,220.5,,37.71173716,126.8996617,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,세진프라스틱 제1태양광발전소,"경기도 고양시 일산동구 문봉동 146-5, 146-6","경기도 고양시 일산동구 문봉동 146-5, 146-6",74.1,380,60,2020-02-04,,2020-06-15,370,,37.70106862,126.8216237,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,세진프라스틱 제2태양광발전소,경기도 고양시 일산동구 문봉동 146-5,경기도 고양시 일산동구 문봉동 146-5,74.1,380,60,2020-02-04,,2020-06-15,370,,37.70106862,126.8216237,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,세진프라스틱 제3태양광발전소,"경기도 고양시 일산동구 문봉동 146-1,146-5,146-13","경기도 고양시 일산동구 문봉동 146-1,146-5,146-13",70.59,380,60,2020-02-04,,2020-06-15,352,,37.70118248,126.8215085,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,솔라4 태양광발전소,경기도 고양시 일산동구 탄중로 325-15,경기도 고양시 일산동구 중산동 1568,73.04,380,60,2019-07-09,,2020-04-06,360,,37.69403077,126.7812391,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,송강태양광발전소,경기도 고양시 덕양구 호국로 1446-20,경기도 고양시 덕양구  대자동 168-3,29.2,380,60,2018-05-02,,2018-09-14,156.5,,37.68058224,126.8968849,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,수태양광발전소,경기도 고양시 일산동구 성현로377번길 128-3,경기도 고양시 일산동구 문봉동 21-26,47.74,380,60,2016-05-10,,2016-09-29,304,,37.70089866,126.8333767,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,승현2호 태양광발전소,경기도 고양시 일산동구 고일로251번길 69,경기도 고양시 일산동구 풍동 48-8,19.2,380,60,2020-05-04,,2020-10-30,99.33,,37.65617165,126.8046975,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,시선태양광발전소,경기도 고양시 일산동구 지영로100번길 12-20,경기도 고양시 일산동구 지영동 382-36,50.25,380,60,2016-05-24,,2016-12-21,540,,37.7081071,126.8235102,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,신성영 태양광발전소,"경기도 고양시 덕양구 고골길84번길 2, 76, 72","경기도 고양시 덕양구 관산동 577, 574-1, 574-23[건물위]",99.9,380,60,2020-08-14,,2020-10-28,466.2,,37.71278256,126.8618837,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,신성태양광발전소,경기도 고양시 일산동구 장항로 121-10,경기도 고양시 일산동구 백석동 1098-10,99.2,380,60,2018-07-03,,2019-03-15,469.53,,37.63472099,126.7822755,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,신양 태양광발전소,경기도 고양시 일산동구 지영로 19,경기도 고양시 일산동구 문봉동 58-40,84.38,380,60,2020-03-24,,2020-05-15,419,,37.7033962,126.8256063,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,신영태양광발전소,경기도 고양시 일산동구 은마길 31-38,경기도 고양시 일산동구 성석동 521-7,92.16,380,60,2017-07-12,,2017-11-13,522,,37.71111494,126.806011,건물,창고용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,신영태양광발전소,경기도 고양시 덕양구 흥도로132번길 47,경기도 고양시 덕양구  도내동 691-1,,380,60,2015-06-17,,,260,,37.62026815,126.8631399,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,신평햇빛태양광발전소,경기도 고양시 덕양구 신평길 107,경기도 고양시 덕양구  신평동 25-2,,380,60,2015-11-30,,,1164,,37.62177446,126.7943253,건물,구거,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,신화태양광발전소,경기도 고양시 일산동구 장진천길 22-17,경기도 고양시 일산동구 설문동 175-11외 2필지,99,380,60,2016-04-27,,2016-07-07,540,,37.71006071,126.8122153,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,신흥제1태양광발전소,경기도 고양시 일산동구 문원길170번길 84외 4필지,"경기도 고양시 일산동구 설문동 39-2, 39-14, 39-15, 43-3, 43-8",,380,60,2017-10-30,,,498.2,,37.72184411,126.8205372,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,신흥제2태양광발전소,경기도 고양시 일산동구 공릉천로473번길 78-20,경기도 고양시 일산동구 설문동 43-3,,380,60,2017-10-30,,,372.8,,37.72175869,126.8213549,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,신흥제3태양광발전소,경기도 고양시 일산동구 문원길 30-35,경기도 고양시 일산동구 지영동 399-8,,380,60,,,,186,,37.71079533,126.8207742,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,싱글벙글태양광발전소,경기도 고양시 일산동구 장항로 122-8,경기도 고양시 일산동구 백석동 1104-10,75,380,60,2014-02-24,,2014-05-21,445,,37.63481862,126.7835099,건물,주유소용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,썬플라워 태양광발전소,경기도 고양시 일산서구 곳산길 56,경기도 고양시 일산서구 법곳동 1185-3,98.84,380,60,2020-02-17,,2020-08-05,594,,37.67274822,126.7010253,건물,답,,2021-06-25
고양시,고양시,전기사업용,발전사업용,설치불가,쏠라그린태양광발전소,경기도 고양시 덕양구 호국로 1531,경기도 고양시 덕양구  대자동 83-12,,380,60,,,,286,,37.68806244,126.9002609,건물,체육,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,연산태양광발전소,경기도 고양시 덕양구 고양대로 1345,경기도 고양시 덕양구 주교동 609-9,19.13,380,60,2020-11-16,,2021-04-02,78,,37.65551093,126.833896,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,영일태양광발전소,경기도 고양시 일산서구 멱절길 94,경기도 고양시 일산서구 대화동 1926-112,94.49,380,60,2017-03-02,,2017-06-05,586,,37.65849299,126.7314145,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,옴니에너지1태양광발전소,경기도 고양시 덕양구 통일로1031번길 426,경기도 고양시 덕양구  내유동 402-6,18.72,380,60,2016-08-22,,2017-05-08,115,,37.71772898,126.8434943,건물,잡종지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,옴니에너지태양광발전소,경기도 고양시 덕양구 마상로113번길 20,경기도 고양시 덕양구  주교동 577,18.9,380,60,2016-08-04,,2016-12-01,115,,37.66123182,126.8366453,건물,대지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,미운영,원 태양광발전소,경기도 고양시 일산동구 고봉로702번길 21-7,경기도 고양시 일산동구 설문동 768,97.88,380,60,2020-02-24,,2020-09-11,476,,37.71904581,126.7907441,건물,공장용지,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,원신1통마을회태양광발전소,경기도 고양시 덕양구 공양왕길 12,경기도 고양시 덕양구  원당동 375,9.9,380,60,2019-04-09,,2019-07-15,51.4,,37.67452674,126.8480255,건물,대,,2021-06-25
고양시,고양시,전기사업용,발전사업용,운영중,원신3통마을회 태양광발전소,경기도 고양시 덕양구 원당로 359,경기도 고양시 덕양구 원당동 627-2,10.13,380,60,2020-08-12,,2020-11-16,53.83,,37.68035834,126.8496642,건물,대지,,2021-06-25
