도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,교통량,준공년도
고속국도,고속국도65호선,문무대왕2터널(포항),경상북도,경주시,양북면,입천리,234,10.7,,7.4,10900,2015
고속국도,고속국도65호선,문무대왕3터널(부산),경상북도,경주시,양북면,용동리,530,10.7,,7.3,10418,2015
고속국도,고속국도65호선,문무대왕3터널(포항),경상북도,경주시,양북면,용동리,466,10.7,,7.3,10418,2015
고속국도,고속국도65호선,문무대왕4터널(부산),경상북도,경주시,양북면,용동리,272,10.7,,7.3,10418,2015
고속국도,고속국도65호선,문무대왕4터널(포항),경상북도,경주시,양북면,용동리,217,10.7,,7.3,10418,2015
고속국도,고속국도65호선,문무대왕5터널(부산),경상북도,포항시 남구,오천읍,진전리,2442,10.7,,7.3,10418,2015
고속국도,고속국도65호선,문무대왕5터널(포항),경상북도,포항시 남구,오천읍,진전리,2443,10.7,,7.3,10418,2015
고속국도,고속국도253호선,문수산터널(고창),전라북도,고창군,고수면,은사리,3820,12.4,,7.3,10362,2007
고속국도,고속국도253호선,문수산터널(담양),전라북도,고창군,고수면,은사리,3805,12.4,,7.3,10362,2007
고속국도,고속국도65호선,문수터널(부산),울산광역시,울주군,청량면,율리,1508,14.4,,8.2,17341,2008
고속국도,고속국도65호선,문수터널(울산),울산광역시,울주군,청량면,율리,1599,14.4,,8.2,17341,2008
고속국도,고속국도30호선,문의1터널(영덕),충청북도,청원군,문의면,노현리,536,13.5,,8.7,22637,2007
고속국도,고속국도30호선,문의1터널(청주),충청북도,청원군,문의면,마구리,451,13.4,,8.6,22637,2007
고속국도,고속국도30호선,문의2터널(영덕),충청북도,청원군,문의면,마구리,219,12.2,,7.4,22637,2007
고속국도,고속국도30호선,문의2터널(청주),충청북도,청원군,문의면,마구리,120,13.3,,7.4,22637,2007
고속국도,고속국도12호선,문평1터널(광주),전라남도,나주시,문평면,송산리,300,11.5,,7.3,18936,2007
고속국도,고속국도12호선,문평1터널(무안),전라남도,나주시,문평면,송산리,342,11.5,,7.3,18936,2007
고속국도,고속국도12호선,문평2터널(광주),전라남도,나주시,문평면,대도리,343,11.5,,7.3,18936,2007
고속국도,고속국도12호선,문평2터널(무안),전라남도,나주시,문평면,대도리,328,11.5,,7.3,18936,2007
고속국도,고속국도12호선,문평3터널(광주),전라남도,나주시,문평면,대도리,260,11.5,,7.3,18936,2007
고속국도,고속국도12호선,문평3터널(무안),전라남도,나주시,문평면,대도리,255,11.5,,7.3,18936,2007
고속국도,고속국도12호선,문평4터널(광주),전라남도,나주시,문평면,계로리,235,11.5,,7.3,18936,2007
고속국도,고속국도12호선,문평4터널(무안),전라남도,나주시,문평면,계로리,202,11.5,,7.3,18936,2007
고속국도,고속국도12호선,문평5터널(광주),전라남도,나주시,문평면,대도리,724,11.5,,7.3,18936,2007
고속국도,고속국도12호선,문평5터널(무안),전라남도,나주시,문평면,대도리,690,11.5,,7.3,18936,2007
고속국도,고속국도10호선,미력1터널(순천),전라남도,보성군,노동면,명봉리,730,11.5,,7.3,8726,2012
고속국도,고속국도10호선,미력1터널(영암),전라남도,보성군,노동면,명봉리,741,11.5,,7.3,8726,2012
고속국도,고속국도10호선,미력2터널(순천),전라남도,보성군,미력면,용정리,124,11.5,,7.3,8726,2012
고속국도,고속국도60호선,미사터널(서울),경기도,가평군,설악면,미사리,2205,12.5,,7.4,25812,2009
고속국도,고속국도60호선,미사터널(양양),경기도,가평군,설악면,미사리,2193,12.5,,7.4,25812,2009
고속국도,고속국도50호선,반월터널(강릉0),경기도,안산시,부곡동,,359,10,,6.7,65628,1991
고속국도,고속국도50호선,반월터널(강릉1),경기도,안산시,부곡동,,286,10,,6.7,65628,1991
고속국도,고속국도50호선,반월터널(인천),경기도,안산시,부곡동,,760,13.6,,8.3,65628,2001
고속국도,고속국도40호선,반제터널(제천),경기도,안성시,원곡면,반제리,140,11.3,,7.3,29545,2008
고속국도,고속국도40호선,반제터널(평택),경기도,안성시,원곡면,반제리,140,11.3,,7.3,29545,2008
고속국도,고속국도60호선,발산1터널(서울),강원도,춘천시,남면,발산리,599,11.6,,7.3,25012,2009
고속국도,고속국도60호선,발산1터널(양양),강원도,춘천시,남면,발산리,633,11.6,,7.3,25012,2009
고속국도,고속국도60호선,발산2터널(서울),강원도,춘천시,남면,발산리,504,11.6,,7.3,25012,2009
고속국도,고속국도60호선,발산2터널(양양),강원도,춘천시,남면,발산리,480,11.6,,7.3,25012,2009
고속국도,고속국도60호선,발산3터널(서울),강원도,춘천시,남면,발산리,251,11.6,,7.3,25012,2009
고속국도,고속국도60호선,발산3터널(양양),강원도,춘천시,남면,발산리,254,11.6,,7.3,25012,2009
고속국도,고속국도60호선,발산4터널(서울),강원도,춘천시,남면,추곡리,387,11.6,,7.3,25012,2009
